Name,PostalCode,Locality,RegionalKey,Borough,Suburb
"""Hörsaal""",23570,Lübeck,01003000,Travemünde,Priwall
"A1, A2, U",32278,Kirchlengern,05758020,,
"B7, B515 Westtangente",58706,Menden (Sauerland),05962040,,
"Lehrpfad Freilichtmuseum ""Zeitsprung""",03149,Wiesengrund,12071414,Gosda,
"Lehrpfad für Geologie, Landschaft und Rohstoffabbau / Bodenentdeckungspfad ""Mensch trifft Boden""",93051,Regensburg,09362000,,
"Traumpfade, Waldschluchtenweg",56203,Vallendar,07137226,,
"ehem. Schacht Grillo 3 ""Kiwitt""",59192,Bergkamen,05978004,,
"ehem. Zeche ""Am Schwaben""",44141,Dortmund,05913000,Innenstadt Ost,
"ehemaliger Wanderweg, jetzt privat",06868,Coswig (Anhalt),15091060,Bräsen,
"geplante Grün, Spielfläche",19055,Schwerin,13004000,,
"unbekannt, evtl Erlenweg",94116,Hutthurm,09275128,,
"Übergang ""Gerk-sin-Spoor""",26465,Langeoog,03462007,,
"Übergang ""Hauptbad""",26465,Langeoog,03462007,,
"Übergang ""Hundestrand""",26465,Langeoog,03462007,,
"Übergang ""Katholische Kirche""",26465,Langeoog,03462007,,
"Übergang ""Seekrug""",26465,Langeoog,03462007,,
"Übergang ""Warmbadweg""",26465,Langeoog,03462007,,
"Übergang ""Westerpad""",26465,Langeoog,03462007,,
(Linker) Kälbertalweg,75323,Bad Wildbad,08235079,,
(Volks-)Festplatz,85664,Hohenlinden,09175123,,
(Wolfenweiler) Hohfirstweg,79227,Schallstadt,08315098,,
1. Bauabschnitt Freizeit- und Sportpark Wurmaue,52525,Heinsberg,05370016,,
1/A1,17419,Heringsdorf,13075049,Ahlbeck,
107 - 116,06184,Kabelsketal,15088150,Großkugel,
117 - 121,06184,Kabelsketal,15088150,Großkugel,
2/R,17424,Heringsdorf,13075049,Heringsdorf,
24 Stunden 2009,78183,Hüfingen,08326027,Behla,
24 Stunden 2013,78183,Hüfingen,08326027,Behla,
27 FKK,18347,Dierhagen,13073017,,
29 - 38,06184,Kabelsketal,15088150,Großkugel,
2N,17424,Heringsdorf,13075049,Heringsdorf,
67 - 76,06184,Kabelsketal,15088150,Großkugel,
6G,17459,Koserow,13075066,,
72 Stunden Park,55270,Klein-Winternheim,07339032,,
72-Stunden-Barfußpark,77966,Kappel-Grafenhausen,08317152,,
72-Stunden-Platz,67125,Dannstadt-Schauernheim,07338006,,
77 - 86,06184,Kabelsketal,15088150,Großkugel,
7B,17459,Zempin,13075148,,
87 - 96,06184,Kabelsketal,15088150,Großkugel,
97 - 106,06184,Kabelsketal,15088150,Großkugel,
98-Stufen-Weg,96465,Neustadt bei Coburg,09473151,,
A,19273,Amt Neuhaus,03355049,,
A,22880,Wedel,01056050,,
A,23775,Großenbrode,01055017,,
A2,42349,Wuppertal,05124000,Cronenberg,Gemarkung Cronenberg
A2,51570,Windeck,05382076,,
A2,53359,Rheinbach,05382048,,
A2,59955,Winterberg,05958048,,
Adlersteige,73479,Neuler,08136046,,
Adolf-Vetter-Weg,76530,Sinzheim,08216049,,
Ahornstr.,83101,Stephanskirchen,09187177,,
Ahrensfelder Weg,16356,Panketal,12060181,Schwanebeck,
Alfred-Wegener-Str.,27580,Bremen,04011000,Bremen-Mitte,Häfen
Almbergstr.,94158,Annathaler Wald,09272451,,
Alpe Eck,87544,Ofterschwang,09780134,,
Alte Poststr.,54344,Trier,07211000,Ruwer-Eitelsbach,Ruwer
Alter Heerweg,53123,Alfter,05382004,Oedekoven,
Alter Höhenweg,72250,Bad Peterstal-Griesbach,08317008,,
Alter Mühlenweg,24811,Holzbunge,01058081,,
Alter See,71638,Kornwestheim,08118046,,
Am Armensee,24787,Rendsburg,01058135,Rendsburg-West,Rendsburg Südwest
Am Bergwerkswald,35392,Linden,06531012,,
Am Brackstock,24321,Blekendorf,01057007,,
Am Centwald,69259,Weinheim,08226096,Lützelsachsen,
Am Chiemseepark,83358,Chiemsee,09189451,,
Am Einsiedel,08134,Mülsen,14524200,,
Am Elbsee,87648,Ruderatshofen,09777167,,
Am Flugplatz,88046,Meckenbeuren,08435035,,
Am Ginsterhahn,53562,Dattenberg,07138009,,
Am Heegwald,61381,Rosbach vor der Höhe,06440023,Rodheim vor der Höhe,
Am Heideeck,21509,Oststeinbek,01062053,,
Am Kreuzbach,55411,Weiler bei Bingen,07339063,,
Am Küppeldamm,61250,Neu-Anspach,06434007,,
Am Moor,49453,Varrel,03251043,,
Am Nette-Gut,56575,Andernach,07137003,,
Am Postdamm,33397,Rheda-Wiedenbrück,05754028,,
Am Rönndeich,21706,Großenwörden,03359019,,
Am Sauerborn,61209,Wölfersheim,06440024,,
Am See,14789,Brandenburg an der Havel,12051000,Kirchmöser,
Am See,34431,Diemelsee,06635007,Heringhausen,
Am Seehaus,63857,Waldaschaffer Forst,09671460,,
Am Sommerberg,07318,Neuhaus am Rennweg,16072013,Lichte,
Am Sportplatz,01454,Dresden,14612000,Loschwitz,
Am Starkenbrunnen,66955,Münchweiler an der Rodalb,07340032,,
Am Turmweg,37351,Unstruttal,16064071,Dörna,
Am Weissen Berg,56112,Miellen,07141086,,
An den Havelbergen,17237,Wesenberg,13071159,,
An der Glentleiten,82439,Schlehdorf,09173142,,
An der Heide,97714,Poppenhausen,09678168,,
